POST ID,Caption,Attachment (optional),Num of likes,User,Num of shares,DATE,Art Assets [GDRIVE Link],DAY,FAKE NEWS TYPE,,EVIDENCE/REASON WHY FAKE
1,"$CHUM NOW UP BY 190% AND IS ONLY SURGING HIGHER !! This could be your chance to strike it rich, invest now ! #chumcoin #fishcrypto","LINK:

Suspicious looking link buncha letters buncha numbers",15,fishcat16321,2,,,2,SCAMS,,
,Hero fisherman single-handedly holds back tsunami wave to save trapped kids!!,PHOTO: AI-generated image of a man superhumanly pushing back a giant wave with his bare hands,8,WaveWarriorWally,2,,,2,AI GENERATED POST,,
,Did a tsunami really hit Krillji Port? Looks perfectly fine to me lol,PHOTO: Photo of Krillji Port looking calm and undamaged,3,user12143,1,,,2,MISINFORMATION,,
,"""The 'earthquake' was really an underwater test gone wrong. WE ARE ALL JUST FISH IN A TANK THEY CONTROL. WAKE UP YOUR GILLS.",NONE,6,user12143,2,,,2,MISINFORMATION,,
,This grandma swam THROUGH the tsunami wave to save her grandkids?? absolute legend,PHOTO: AI-generated image of an elderly woman heroically emerging from a wave carrying two children,15,ChadClam,5,,,2,AI GENERATED POST,,
,"MY COUSIN WORKS AT THE WEATHER BUREAU AND TOLD ME THEY'RE HIDING THE REAL WAVE HEIGHT, IT WAS ACTUALLY 15 METERS NOT 80CM!!",NONE,200,HenryHalibut,50,,,2,MISINFORMATION,,
,"Emergency fundraiser for tsunami victims!! link below, every seashell helps 🙏🌊","2 PHOTOS: blurry, hard-to-scan QR code, plus a stock photo of flooding from an unrelated country",345,HopeForHerring,23,,,2,SCAMS,,
,"To whoever can help, our fishing boat and home in Salmonori were swept away. We have three kids and nowhere to stay tonight. Anything helps","2 PHOTOS: legitimate QR code, poorly edited photo of a family superimposed onto real tsunami wreckage",2345,TidepoolTeresa,123,,,2,SCAMS,,
,"please i just need help, lost my wallet and papers when the water came in, i can't even prove where i'm from anymore. anyone willing to send anything"" ""Msg me: 0917 445 2028",NONE,45,LarryLantern,2,,,2,SCAMS,,
,Tribute art for everyone affected by the tsunami 🙏 sending love to Sardinku coast,"PHOTO: AI-generated image of glowing lanterns floating on calm water at dusk, overly stylized and unrelated to real relief efforts",234,CarolCod,42,,,2,AI GENERATED POST,,
,🚨 DONATION MATCHING ALERT 🚨 Our partner company will match every donation 2x for the next 24 hours to help tsunami victims! Just send your donation to this account first and we'll confirm the match after,"PHOTO: logo mockup of a fake ""corporate partner"" that doesn't actually exist",4578,MatchFundManta,534,,,2,SCAMS,,
,"🔴 LIVE: Coverage of the Sardinku coast tsunami aftermath, watch now","PHOTO: AI-generated fake livestream thumbnail with a fabricated ""LIVE"" badge, viewer count, and a frozen ""reporter on scene"" image that doesn't correspond to any real broadcast",345,WayneWaveWatch,43,,,2,AI GENERATED POST,,
,"Retired coast guard captain here. I've seen this pattern before, they always downplay the wave height to avoid mass panic. Here's the REAL data I've compiled from my own contacts","PHOTO: crudely-made infographic showing invented wave height comparisons, labeled ""unofficial field data""",543,CaptainFinnegan,78,,,2,"AI GENERATED POST, MISINFORMATION",,
,"Missing my brother Ken since the tsunami hit Codport, he was fishing near the pier that morning. Please share, and if you can spare anything to help fund the search, link below.","PHOTO: AI-generated image of a young man on a boat, presented as ""Ken,"" alongside a real photo of Codport for context",34,SearchingForKen,3,,,2,"SCAMS, AI GENERATED POST",,
,Wake up fish. Earthquakes don't just 'happen' near major shipping lanes. This tsunami was triggered on purpose to justify shutting down Krillji Port for 'reconstruction' aka they wanted the land the whole time.,PHOTO: AI-generated image of blueprints for a fake luxury resort overlaid on a map of Krillji Port,543,user12143,23,,,2,"MISINFORMATION, AI GENERATED POST",,
